as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1969-12-31,permno-10495-19570301,10495,A,A,ANACONDA CO; ANACONDA COPPER MNG CO,,1957-03-01,1977-01-19,wrds,reused_symbol_requires_override
1969-12-31,permno-15843-19570301,15843,ABA,ABA,AMERICAN BAKERIES CO; PURITY BAKERIES CORP,,1957-03-01,1973-05-30,wrds,auto
1969-12-31,permno-10233-19690515,10233,ABC,"ABP, ABC",FAMOUS PLAYERS LASKY CORP; PARAMOUNT FAMOUS LASKY CORP; PARAMOUNT PUBLIX CORP; PARAMOUNT PICTURES INC; AMERICAN BROADCASTING PARAMOUNT; UNITED PARAMOUNT THEATRES INC; AMERICAN BROADCASTING COS INC,,1969-05-15,1986-01-08,wrds,ticker_history_requires_override
1969-12-31,permno-10006-19570301,10006,ACF,ACF,AMERICAN CAR & FDRY CO; A C F INDUSTRIES INC,,1957-03-01,1984-07-18,wrds,auto
1969-12-31,permno-19692-19570301,19692,ACK,ACK,ARMSTRONG WORLD INDUSTRIES INC; ARMSTRONG CORK CO; ARMSTRONG HOLDINGS INC,,1957-03-01,1996-01-02,wrds,auto
1969-12-31,permno-18825-19570301,18825,ACN,ACN,AMERICAN CHAIN & CABLE INC; AMERICAN CHAIN INC,,1957-03-01,1976-01-14,wrds,reused_symbol_requires_override
1969-12-31,permno-28994-19680822,28994,ACR,"HFG, ACR",HOME FIN GROUP INC; AMERICAN CREDIT CORP,,1968-08-22,1970-06-24,wrds,ticker_history_requires_override
1969-12-31,permno-10276-19570301,10276,ACS,ACS,AMERICAN CRYSTAL SUGAR CO; AMERICAN BEET SUGAR CO,,1957-03-01,1973-02-28,wrds,reused_symbol_requires_override
1969-12-31,permno-23341-19570301,23341,ACY,ACY,AMERICAN CYANAMID CO,,1957-03-01,1994-09-26,wrds,auto
1969-12-31,permno-10487-19570301,10487,AD,AD,AMSTED INDUSTRIES INC; AMERICAN STEEL FOUNDRIES,,1957-03-01,1986-05-07,wrds,auto
1969-12-31,permno-22488-19570301,22488,ADL,ADL,ADMIRAL CORP,,1957-03-01,1974-04-10,wrds,auto
1969-12-31,permno-10516-19570301,10516,ADM,ADM,ARCHER DANIELS MIDLAND CO,,1957-03-01,1970-04-22,wrds,reused_symbol_requires_override
1969-12-31,permno-24985-19661215,24985,AEE,"UEP, AEE",UNION ELECTRIC CO; AMEREN CORP,,1966-12-15,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-19596-19570301,19596,AEG,"UAL, AEG",U A L INC; U A L CORP; ALLEGIS CORP; UNITED AIR LINES INC; UNITED AIR LINES TRANS CORP,,1957-03-01,1994-07-12,wrds,ticker_history_requires_override
1969-12-31,permno-25873-19651104,25873,AFN,"HLR, AFN",HELLER WALTER E INTL CORP; AMERIFIN CORP; HELLER WALTER E & CO,,1965-11-04,1984-10-24,wrds,ticker_history_requires_override
1969-12-31,permno-24555-19570301,24555,AGM,AGM,AMALGAMATED SUGAR CO,,1957-03-01,1982-10-06,wrds,auto
1969-12-31,permno-21194-19580423,21194,AIC,AIC,AMERICAN INVESTMENT CO IL; AMERICAN INVESTMENT CO,,1958-04-23,1976-06-30,wrds,auto
1969-12-31,permno-24264-19570301,24264,AL,AL,ALCAN INC; ALCAN ALUMINUM LTD; ALUMINUM LTD,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-17304-19570301,17304,ALS,ALS,ALLIED STORES CORP; HAHN DEPT STORES INC,,1957-03-01,1987-01-07,wrds,auto
1969-12-31,permno-18980-19570301,18980,AM,"AIN, AM",ADDRESSOGRAPH MULTIGRAPH CORP; ADDRESSOGRAPH INTL CO; A M INTERNATIONAL INC,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-10524-19570301,10524,AM,AM,ARMOUR & CO,,1957-03-01,1971-01-13,wrds,reused_symbol_requires_override
1969-12-31,permno-15763-19570301,15763,AMF,AMF,AMERICAN MACH & FDRY CO; A M F INC,,1957-03-01,1985-10-09,wrds,auto
1969-12-31,permno-10321-19570301,10321,AMO,AMO,NASH KELVINATOR CORP; AMERICAN MOTORS CORP; NASH MOTORS CO,,1957-03-01,1987-08-05,wrds,auto
1969-12-31,permno-27051-19670413,27051,AMP,AMP,A M P INC,,1967-04-13,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-21020-19570301,21020,AMR,"AAL, AMR",A M R CORP DEL; AMERICAN AIRLINES GROUP INC; AMERICAN AIRLS INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-10057-19570301,10057,AMT,"NCM, AMT",ACME CLEVELAND CORP NEW; NATIONAL ACME CO; ACME CLEVELAND CORP,,1957-03-01,1992-07-02,wrds,ticker_history_requires_override
1969-12-31,permno-10161-19570301,10161,AMX,AMX,AMERICAN METAL CLIMAX INC; AMERICAN METAL LTD; AMAX INC,,1957-03-01,1993-11-12,wrds,auto
1969-12-31,permno-10102-19570301,10102,AN,AN,AIR REDUCTION INC; AIRCO INC,,1957-03-01,1975-02-05,wrds,reused_symbol_requires_override
1969-12-31,permno-19553-19570301,19553,AN,"SN, AN",STANDARD OIL CO IND; AMOCO CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-24141-19570301,24141,ANR,"ANG, ANR",AMERICAN NAT GAS CO; AMERICAN NATURAL GAS CO; AMERICAN NATURAL RESOURCE CO,,1957-03-01,1985-05-22,wrds,ticker_history_requires_override
1969-12-31,permno-18315-19570301,18315,APC,"AHP, SGI, SGIB, APC",ALPHA PORTLAND INDS INC; ALPHA PORTLAND CEM CO; SLATTERY GROUP INC,,1957-03-01,1982-09-15,wrds,ticker_history_requires_override
1969-12-31,permno-10364-19570301,10364,AR,AR,AMERICAN SMLT & REFNG CO; ASARCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-39271-19680912,39271,ARA,ARA,A R A SERVICES INC; AUTOMATIC RETAILERS AMER INC,,1968-09-12,1984-12-26,wrds,auto
1969-12-31,permno-10604-19570301,10604,ARC,"AFI, ARC",ATLANTIC REFNG CO; ATLANTIC RICHFIELD CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-17566-19570301,17566,AS,AS,AMERICAN ROLLING ML CO; ARMCO STL CORP; ARMCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-26649-19680808,26649,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,,1968-08-08,1989-08-02,wrds,auto
1969-12-31,permno-17558-19570301,17558,ASC,ASC,AMERICAN STORES CO; ACME MKTS INC,,1957-03-01,1979-07-27,wrds,reused_symbol_requires_override
1969-12-31,permno-10479-19570301,10479,ASR,ASR,AMERICAN SUGAR CO; AMSTAR CORP; AMERICAN SUGAR REFNG CO,,1957-03-01,1973-02-28,wrds,reused_symbol_requires_override
1969-12-31,permno-10372-19570301,10372,AST,AST,AMERICAN RADIATOR CO; AMERICAN STANDARD INC; AMERICAN RADIATOR & STD SAN CORP,,1957-03-01,1988-04-27,wrds,auto
1969-12-31,permno-40416-19670518,40416,AVP,AVP,AVON PRODUCTS INC,,1967-05-18,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-25662-19570301,25662,AXO,"ANK, AXO",AKZONA INC; AMERICAN ENKA CORP,,1957-03-01,1982-09-15,wrds,ticker_history_requires_override
1969-12-31,permno-10137-19570301,10137,AYE,"AYP, AYE",WEST PENN ELECTRIC CO; ALLEGHENY ENERGY INC; ALLEGHENY POWER SYSTEMS INC; AMERICAN WATER WORKS & ELEC INC,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-24854-19570301,24854,BAW,BAW,BABCOCK & WILCOX CO,,1957-03-01,1978-04-12,wrds,auto
1969-12-31,permno-27836-19610809,27836,BBK,"BBKS, BBK",BOBBIE BROOKS INC,,1961-08-09,1974-05-08,wrds,ticker_history_requires_override
1969-12-31,permno-25697-19570301,25697,BEC,BEC,BECKMAN INSTRUMENTS INC,,1957-03-01,1974-10-16,wrds,reused_symbol_requires_override
1969-12-31,permno-18331-19580924,18331,BF,BF,BUDD CO; BUDD COMPANY; BUDD EDWARD G MANUFACTURING CO,,1958-09-24,1978-05-03,wrds,auto
1969-12-31,permno-10866-19570301,10866,BG,"BWS, CAL, BG",BROWN SHOE INC; CALERES INC; BROWN SHOE CO INC NEW; BROWN SHOE CO INC; BROWN GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-24221-19570301,24221,BGE,"CEG, BGE",CONSOLIDATED GAS ELEC LT & PWR; BALTIMORE GAS & ELECTRIC CO; CONSTELLATION ENERGY GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-17961-19680404,17961,BGG,BGG,BRIGGS & STRATTON CORP,,1968-04-04,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-10890-19570301,10890,BGH,"UIS, BGH",BURROUGHS ADDING MACH CO; BURROUGHS CORP; UNISYS CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-29962-19680801,29962,BGT,"FIN, BUG, BGT",FINANCIAL CORP AMER; BUDGET INDUSTRIES INC; BUDGET FINANCIAL PLAN INC,,1968-08-01,1970-03-18,wrds,ticker_history_requires_override
1969-12-31,permno-28134-19620110,28134,BKO,BKO,BAKER INTERNATIONAL CORP; BAKER OIL TOOLS INC,,1962-01-10,1987-04-08,wrds,auto
1969-12-31,permno-16571-19570301,16571,BN,BN,BORDEN CO; BORDEN INC,,1957-03-01,1994-12-20,wrds,auto
1969-12-31,permno-19377-19570301,19377,BNL,BNL,BENEFICIAL LN CORP; BENEFICIAL INDL LN CORP; BENEFICIAL FIN CO; BENEFICIAL CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-42606-19680404,42606,BNS,BNS,BROWN & SHARPE MFG CO; B N S CO,,1968-04-04,1992-07-02,wrds,auto
1969-12-31,permno-17590-19570301,17590,BOR,BOR,BORG WARNER CORP,,1957-03-01,1987-08-05,wrds,auto
1969-12-31,permno-14883-19570301,14883,BP,"UCC, BP",UNION BAG CAMP PAPER CORP; UNION BAG & PAPER CORP; UNION CAMP CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-17953-19570301,17953,BRY,BRY,BEATRICE CREAMERY CO; BEATRICE FOODS CO; BEATRICE CO,,1957-03-01,1986-04-23,wrds,auto
1969-12-31,permno-10786-19570301,10786,BS,BS,BETHLEHEM STEEL CORP,,1957-03-01,1996-01-02,wrds,auto
1969-12-31,permno-25144-19661215,25144,BSE,BSE,B E C ENERGY; BOSTON EDISON CO,,1966-12-15,1976-06-30,wrds,auto
1969-12-31,permno-10823-19570301,10823,BU,"KSE, BU",KEYSPAN ENERGY CORP; BROOKLYN UNION GAS CO,,1957-03-01,1983-11-30,wrds,ticker_history_requires_override
1969-12-31,permno-20677-19570301,20677,BUR,BUR,BURLINGTON MILLS CORP; BURLINGTON INDUSTRIES INC,,1957-03-01,1987-09-09,wrds,auto
1969-12-31,permno-29911-19660519,29911,BWN,BWN,BROWN CO,,1966-05-19,1980-11-19,wrds,auto
1969-12-31,permno-10751-19570301,10751,BX,BX,BENDIX CORP; BENDIX AVIATION CORP; STROMBERG CARBURETOR CO AMER INC,,1957-03-01,1983-02-02,wrds,reused_symbol_requires_override
1969-12-31,permno-16651-19570301,16651,BY,"BCW, BY",BUCYRUS ERIE CO; BECOR WESTERN INC,,1957-03-01,1987-12-09,wrds,ticker_history_requires_override
1969-12-31,permno-10727-19570301,10727,BYK,BYK,BAYUK CIGARS INC,,1957-03-01,1970-06-24,wrds,auto
1969-12-31,permno-11260-19570301,11260,C,C,CHRYSLER CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-21979-19570301,21979,CBE,CBE,COOPER INDUSTRIES LTD; COOPER INDUSTRIES PLC; COOPER INDUSTRIES INC; COOPER BESSEMER CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-28505-19670518,28505,CBM,CBM,CHESEBROUGH PONDS INC,,1967-05-18,1987-02-11,wrds,auto
1969-12-31,permno-15368-19570301,15368,CBS,"WX, CBS",C B S CORP; WESTINGHOUSE ELECTRIC CORP; WESTINGHOUSE ELECTRIC & MFG CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-20730-19570301,20730,CBS,CBS,COLUMBIA BROADCASTING SYS INC; C B S INC,,1957-03-01,1995-11-24,wrds,reused_symbol_requires_override
1969-12-31,permno-30330-19661006,30330,CCB,CCB,CAPITAL CITIES ABC INC; CAPITAL CITIES COMMUNICATIONS IN; CAPITAL CITIES BROADCASTING CORP,,1966-10-06,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-17726-19570301,17726,CCK,CCK,CROWN CORK & SEAL CO INC; CROWN CORK & SEAL INC; CROWN HOLDINGS INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11092-19570301,11092,CDP,CDP,CERRO DE PASCO COPPER CORP; CERRO DE PASCO CORP; CERRO CORP,,1957-03-01,1976-03-03,wrds,auto
1969-12-31,permno-38914-19690522,38914,CEN,"CDA, CEN",CONTROL DATA CORP MN; CONTROL DATA CORP DE; CERIDIAN CORP; CERIDIAN CORP NEW,,1969-05-22,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-86239-19570301,86239,CF,"CFIP, CF",C F & I STEEL CORP; COLORADO FUEL & IRON CORP,,1957-03-01,1972-01-19,wrds,ticker_history_requires_override
1969-12-31,permno-10989-19570301,10989,CFG,"BFO, CPC, CFG",CORN PRODUCTS CO; BESTFOODS; C P C INTERNATIONAL INC; CORN PRODUCTS REFINING CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-11340-19570301,11340,CG,CG,COLUMBIA GAS & ELEC CO; COLUMBIA GAS SYS INC; COLUMBIA ENERGY GROUP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11164-19570301,11164,CGG,CGG,CHICAGO PNEUMATIC TOOL CO,,1957-03-01,1986-12-17,wrds,auto
1969-12-31,permno-11447-19570301,11447,CH,"CCC, CH",CONTINENTAL CAN INC; CONTINENTAL GROUP INC,,1957-03-01,1984-10-03,wrds,ticker_history_requires_override
1969-12-31,permno-16758-19570301,16758,CH,"CEH, CH",CUTLER HAMMER INC; CUTLER HAMMER MFG CO,,1957-03-01,1979-01-10,wrds,ticker_history_requires_override
1969-12-31,permno-21119-19570301,21119,CHB,"RCB, CHB",CHAIN BELT CO; REX CHAINBELT INC; REXNORD INC,,1957-03-01,1987-05-06,wrds,ticker_history_requires_override
1969-12-31,permno-26622-19630829,26622,CHM,CHM,CHAMPION SPARK PLUG CO,,1963-08-29,1989-05-10,wrds,auto
1969-12-31,permno-40432-19680718,40432,CID,CID,CORONET INDUSTRIES INC,,1968-07-18,1971-03-03,wrds,auto
1969-12-31,permno-22947-19570301,22947,CIN,CIN,CINCINNATI GAS & ELEC CO; CINERGY CORP,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
1969-12-31,permno-10970-19570301,10970,CIT,CIT,COMMERCIAL INVESTMENT TRUST CO; C I T FINANCIAL CORP,,1957-03-01,1980-02-13,wrds,auto
1969-12-31,permno-18446-19570301,18446,CKL,CKL,CLARK EQUIPMENT CO,,1957-03-01,1995-05-19,wrds,auto
1969-12-31,permno-11471-19570301,11471,CLL,CLL,CONOCO INC; CONTINENTAL OIL CO; MARLAND OIL CO,,1957-03-01,1981-10-14,wrds,auto
1969-12-31,permno-11295-19570301,11295,CLU,CLU,CLUETT PEABODY & CO INC,,1957-03-01,1986-01-22,wrds,auto
1969-12-31,permno-46578-19690116,46578,CLX,CLX,CLOROX CO,,1969-01-16,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-23229-19570301,23229,CMS,CMS,CONSUMERS POWER CO; CONSUMERS PWR CO; C M S ENERGY CORP,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
1969-12-31,permno-21821-19570301,21821,CNG,CNG,CONSOLIDATED NATURAL GAS CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11156-19570301,11156,CO,CO,CHESSIE SYSTEM INC; CHESAPEAKE & OHIO RAILWAY CO,,1957-03-01,1980-11-05,wrds,auto
1969-12-31,permno-24707-19570301,24707,COE,COE,CONE MILLS CORP,,1957-03-01,1984-04-11,wrds,auto
1969-12-31,permno-11332-19671130,11332,COT,"FW, COT",PENNSYLVANIA TEXAS CORP; FAIRBANKS WHITNEY CORP; COLT INDUSTRIES INC DE; PENNSYLVANIA COAL & COKE CORP,,1967-11-30,1970-04-22,wrds,ticker_history_requires_override
1969-12-31,permno-40854-19670720,40854,COX,COX,COX BROADCASTING CORP; COX COMMUNICATION INC,,1967-07-20,1985-07-31,wrds,auto
1969-12-31,permno-11041-19641022,11041,CP,CP,CANADIAN PACIFIC RAILWAY CO; CANADIAN PACIFIC LTD,,1964-10-22,1976-06-30,wrds,auto
1969-12-31,permno-19297-19570301,19297,CPS,CPS,COLUMBIA PICTURES INDS INC; COLUMBIA PICTURES CORP; COLUMBIA PICTURES INDS INC DE,,1957-03-01,1982-06-23,wrds,auto
1969-12-31,permno-23894-19570301,23894,CPX,CPX,COPPER RANGE CO,,1957-03-01,1975-12-10,wrds,auto
1969-12-31,permno-20204-19570301,20204,CR,CR,CRANE HOLDINGS CO; CRANE CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-27342-19651021,27342,CRF,CRF,COPELAND REFRIG CORP; COPELAND CORP,,1965-10-21,1981-08-12,wrds,auto
1969-12-31,permno-25478-19640116,25478,CRK,CRK,CAMPBELL RED LAKE MINES LTD,,1964-01-16,1987-08-19,wrds,auto
1969-12-31,permno-22533-19601214,22533,CRR,CRR,CARRIER CORP,,1960-12-14,1979-07-25,wrds,reused_symbol_requires_override
1969-12-31,permno-24571-19570301,24571,CS,CS,CITIES SERVICE CO,,1957-03-01,1982-12-08,wrds,reused_symbol_requires_override
1969-12-31,permno-15915-19570301,15915,CSCS,"DXC, PDI, PNDQ, CSCS",PENN DIXIE INDUSTRIES INC; PENN DIXIE CEM CORP; CONTINENTAL STEEL CORP DE; PENN DIXIE CEMENT CORP; PENNSYLVANIA DIXIE CEM CORP,,1957-03-01,1977-05-18,wrds,ticker_history_requires_override
1969-12-31,permno-18999-19570301,18999,CSP,CSP,COMBUSTION ENGINEERING INC; COMBUSTION ENGR SUPERHEATER INC; SUPERHEATER CO,,1957-03-01,1989-12-15,wrds,auto
1969-12-31,permno-23851-19570301,23851,CSR,CSR,CENTRAL & SOUTH WEST CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-27158-19600713,27158,CSY,CSY,CENTRAL SOYA INC,,1960-07-13,1970-04-22,wrds,auto
1969-12-31,permno-20992-19580409,20992,CTN,CTN,NATIONAL CYLINDER GAS CO; CHEMETRON CORP,,1958-04-09,1975-02-05,wrds,auto
1969-12-31,permno-11543-19570301,11543,CUD,CUD,CUDAHY CO; CUDAHY PACKING CO,,1957-03-01,1971-08-18,wrds,auto
1969-12-31,permno-41080-19650107,41080,CUM,"CMI, CUM",CUMMINS INC; CUMMINS ENGINE INC,,1965-01-07,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-23210-19570301,23210,CVX,CVX,CLEVELAND ELECTRIC ILLUM CO,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
1969-12-31,permno-18091-19570301,18091,CW,CW,CURTISS WRIGHT CORP,,1957-03-01,1970-04-22,wrds,auto
1969-12-31,permno-19027-19570301,19027,CZ,CZ,CELANESE CORP; CELANESE CORP AMER,,1957-03-01,1987-02-25,wrds,auto
1969-12-31,permno-26112-19680201,26112,DAL,DAL,DELTA AIR LINES INC,,1968-02-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11607-19570301,11607,DCN,DCN,SPICER MFG CO; DANA CORP,,1957-03-01,1996-01-02,wrds,auto
1969-12-31,permno-19916-19570301,19916,DCS,"VO, DCS",DISTILLERS CORP SEAGRAMS LTD; SEAGRAM LTD,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-11703-19570301,11703,DD,DD,DU PONT E I DE NEMOURS & CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11658-19570301,11658,DEL,"CFF, DEL",CALIFORNIA PACKING CORP; DEL MONTE CORP,,1957-03-01,1979-02-07,wrds,ticker_history_requires_override
1969-12-31,permno-24002-19570301,24002,DEW,"CIV, DEW",DELAWARE POWER & LIGHT CO; DELMARVA POWER & LIGHT CO; CONECTIV INC,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-47386-19690327,47386,DFC,DFC,DIAL CORP; DIAL FINL CORP,,1969-03-27,1972-09-20,wrds,auto
1969-12-31,permno-10559-19570301,10559,DG,DG,ASSOCIATED DRY GOODS CORP,,1957-03-01,1986-10-08,wrds,reused_symbol_requires_override
1969-12-31,permno-23237-19570301,23237,DGR,DGR,DENVER & RIO GRANDE WESTN RR CO,,1957-03-01,1970-12-16,wrds,auto
1969-12-31,permno-19254-19570301,19254,DI,DI,DRESSER INDUSTRIES INC; DRESSER MANUFACTURING CO; DRESSER S R MANUFACTURING CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11690-19570301,11690,DM,DM,DOME MINES LTD,,1957-03-01,1987-08-19,wrds,auto
1969-12-31,permno-25689-19570301,25689,DML,DML,DAN RIVER MLS INC; DAN RIVER INC,,1957-03-01,1972-09-20,wrds,auto
1969-12-31,permno-16029-19681107,16029,DN,DN,DIAMOND INTERNATIONAL CORP; DIAMOND MATCH CO; DIAMOND NATIONAL CORP; DIAMOND GARDNER CORP,,1968-11-07,1982-11-17,wrds,auto
1969-12-31,permno-22648-19570301,22648,DOC,DOC,DOCTOR PEPPER CO,,1957-03-01,1984-02-29,wrds,reused_symbol_requires_override
1969-12-31,permno-20626-19570301,20626,DOW,DOW,DOW CHEMICAL CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-22859-19570301,22859,DPL,DPL,D P L INC; DAYTON POWER & LIGHT CO,,1957-03-01,1976-06-30,wrds,auto
1969-12-31,permno-25072-19570301,25072,DQE,"DQU, DQE",D Q E INC; DUQUESNE LT CO; DUQUESNE LIGHT HOLDINGS INC; DUQUESNE LIGHT CO,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-13354-19570301,13354,DR,"CUE, DR",NATIONAL DISTILLERS & CHEM CORP; QUANTUM CHEMICAL CORP; NATIONAL DISTILLERS PRODS CORP,,1957-03-01,1993-09-30,wrds,ticker_history_requires_override
1969-12-31,permno-20976-19570301,20976,EAL,EAL,EASTERN AIR LINES INC,,1957-03-01,1976-06-30,wrds,auto
1969-12-31,permno-24096-19570301,24096,EAS,"NGE, NEG, EAS",ENERGY EAST CORP; NEW YORK ST ELEC & GAS CORP,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1969-12-31,permno-26075-19660929,26075,EFU,EFU,EASTERN ENTERPRISES; EASTERN GAS & FUEL ASSOCIATE,,1966-09-29,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-11826-19570301,11826,EJN,EJN,ENDICOTT JOHNSON CORP,,1957-03-01,1970-06-24,wrds,auto
1969-12-31,permno-11754-19570301,11754,EK,EK,EASTMAN KODAK CO,,1957-03-01,1996-01-02,wrds,auto
1969-12-31,permno-20239-19570301,20239,ELG,ELG,EL PASO CO; EL PASO NATURAL GAS CO,,1957-03-01,1983-11-30,wrds,auto
1969-12-31,permno-22103-19650107,22103,EMR,EMR,EMERSON ELECTRIC CO; EMERSON ELECTRIC MFG CO,,1965-01-07,1996-01-02,wrds,reused_symbol_requires_override
1969-12-31,permno-23317-19570301,23317,ENE,"INI, NNG, ENE",INTERNORTH INC; NORTHERN NAT GAS CO; ENRON CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1969-12-31,permno-24328-19570301,24328,EQT,EQT,EQUITABLE GAS CO; E Q T CORP; EQUITABLE RESOURCES INC,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
1969-12-31,permno-11746-19630627,11746,ESB,ESB,ELECTRIC STORAGE BATTERY CO; E S B INC,,1963-06-27,1973-11-14,wrds,auto
1969-12-31,permno-19713-19570301,19713,ESM,"SWX, ESM",SWIFT & CO; ESMARK INC,,1957-03-01,1984-08-15,wrds,ticker_history_requires_override
1969-12-31,permno-41785-19680509,41785,EXC,EXC,ESSEX INTERNATIONAL INC; ESSEX WIRE CORP,,1968-05-09,1974-02-20,wrds,reused_symbol_requires_override
1969-12-31,permno-27852-19670518,27852,FAC,FAC,FACTOR MAX & CO,,1967-05-18,1973-02-28,wrds,auto
1969-12-31,permno-23683-19570301,23683,FALB,"FAL, FALB",FALSTAFF BREWING CORP,,1957-03-01,1975-06-11,wrds,ticker_history_requires_override
